FM,Data_Realizada,Periodo,Dias_Prazo
FM 01 - RELATÓRIO DO GERADOR,2026-08-04,Mensal (30 dias),30
FM 02 - CHECK LIST DO GERADOR,2026-08-04,Mensal (30 dias),30
FM 03 - MANUTENÇÃO PREVENTIVA DO PQS (BOMAS),2026-08-27,Quinzenal (15 dias),15
FM 04 -  CHECK LIST DOS SUMP'S,2026-08-27,Quinzenal (15 dias),15
"FM 05 - TESTE DE BOMBAS SECUNDARIAS 02,05,08",2026-08-04,Mensal (30 dias),30
FM 06 -  MANUTENÇÃO PREVENTIVA CBI,2026-03-24,Semestral (180 dias),180
FM 07 - CHECK LIST CBI,2026-08-27,Quinzenal (15 dias),15
FM 08 - CHECK LIST SUBESTAÇÃO,2026-08-10,Mensal (30 dias),30
FM 09 -  CHECK LIST ÁREA OPERACIONAL,2026-08-27,Quinzenal (15 dias),15
FM 10 - CHECK LIST PARQUE DE TANQUES,2026-08-27,Quinzenal (15 dias),15
FM 11 -  CHECK LIST CCM,2026-08-11,Quinzenal (15 dias),15
FM 12 - MANUTENÇÃO PREVENTIVA ÁREA OPERACIONAL,2026-08-28,Mensal (30 dias),30
FM 16 - CHECK LIST INTERTRAVAMENTO,2026-08-27,Quinzenal (15 dias),15
