,ID,Data_Criacao,Solicitante,Setor,Prioridade,Prazo_Limite,Status_Prazo,Status,Equipamento,Solucao,Itens_Trocados,finalizado_por
0,1026,17/09/2026 14:06,BRUNO,OPERAÇÃO,BAIXA,2026-10-17,Finalizada 🔵,Finalizada,GERADOR ,"LIXADO COM FLAP PARA RETIRA  PONTOS PODRE 
EMASADO E PINTADO ",MASSA PU TINTA LIXA ,MANUTENCAO
1,1025,17/09/2026 14:01,BRUNO ,OPERAÇÃO,BAIXA,2026-10-17,Finalizada 🔵,Finalizada,LAMPADA DA ENTRADA DA PORTARIA,ATENDIDO E FINALIZADO,NENHUM,MANUTENCAO
2,1024,17/09/2026 14:01,BRUNO ,OPERAÇÃO,BAIXA,2026-10-17,Finalizada 🔵,Finalizada,SKID DE DESCARGA ,COMPLETRADO OLIO DOS MANCAIS ,1 LITRO DE OLIO W68,MANUTENCAO
3,1023,17/09/2026 14:00,BRUNO ,OPERAÇÃO,BAIXA,2026-10-17,Finalizada 🔵,Finalizada,CONTANER DA MANUTENÇÃO ,PINTADDO  PISO DO AMOXARIFADO E FERRAMENTARIA ,SOBRAS DE TINTAS ,MANUTENCAO
4,1022,17/09/2026 13:59,BRUNO,OPERAÇÃO,ALTA,2026-09-22,Finalizada 🔵,Finalizada,OPERAÇÃO,TROCADO TERMINAIS ,"TERMINAL
",MANUTENCAO
5,1021,17/09/2026 13:52,BRUNO,OPERAÇÃO,BAIXA,2026-10-17,Finalizada 🔵,Finalizada,ADAPTDOR BOTOM,TROCADO VISOR  E ORINGUIS,"VISOR E 4 ORINGUIS
",MANUTENCAO
6,1020,17/09/2026 13:47,BRUNO,OPERAÇÃO,BAIXA,2026-10-17,Finalizada 🔵,Finalizada,BEBEDOURO,ATENDIDO E FINALIZADO,BARRA CHATA ,MANUTENCAO
7,1019,17/09/2026 13:44,BRUNO,OPERAÇÃO,BAIXA,2026-10-17,Finalizada 🔵,Finalizada,CANCELA DA PORTARIA,ENCONTRADO CABO QUEBRADO E REGULADO SENSORES,NENHUM,MANUTENCAO
8,1018,01/09/2026 15:52,THIAGO,OPERAÇÃO,ALTA,2026-09-06,Finalizada 🔵,Finalizada,TQ 06,"NÍVEL DO TANQUE 06 CALIBRADO +9MM, +927 LITROS",NENHUM,THIAGO
9,1017,01/09/2026 13:23,TAVARES,OPERAÇÃO,BAIXA,2026-10-01,Finalizada 🔵,Finalizada,SAIDA DESCARGA 3,TEM QUER AGENDAR MAIS SERVIÇOS PARA COMPENÇAR PREÇO DO CAMINHÃO MUCK,NENHUM,MANUTENCAO
10,1016,01/09/2026 11:53,ANDRE ,PORTARIA,MÉDIA,2026-09-16,Finalizada 🔵,Finalizada,CANCELA DE SAÍDA,REGULADO EMBREAGEM DA CANCELA,NENHUM,MANUTENCAO
11,1015,01/09/2026 10:59,BRUNO,OPERAÇÃO,URGENTE,2026-09-02,Finalizada 🔵,Finalizada,OVERFIL BAIA 03,ENCONTRADO CABO QUEBRADO E FEITO CONCERTO,".
",MANUTENCAO
12,1014,01/09/2026 10:07,TAVARES,OPERAÇÃO,MÉDIA,2026-09-16,Finalizada 🔵,Finalizada,TQ 02 S-500 A,ATENDIDO E FINALIZADO,NENHUM,MANUTENCAO
13,1013,31/08/2026 21:29,MARCOS ,PORTARIA,MÉDIA,2026-09-15,Finalizada 🔵,Finalizada,LAMPADA DA ENTRADA DA BASE ,TROCADO 1 LAMPADA  QUEIMADA ,"LAMPADA 50W
",MANUTENCAO
14,1012,31/08/2026 17:19,BRUNO ,MANUTENÇÃO,BAIXA,2026-09-30,Finalizada 🔵,Finalizada,CARRINHO DE CARGA,ATENDIDO E FINALIZADO,NENHUM,BRUNO
15,1010,31/08/2026 17:16,BRUNO,OPERAÇÃO,ALTA,2026-09-05,Finalizada 🔵,Finalizada,OVERFILL BAIA 3,ATENDIDO E FINALIZADO,NENHUM,BRUNO
16,1009,31/08/2026 17:14,BRUNO,MANUTENÇÃO,BAIXA,2026-09-30,Finalizada 🔵,Finalizada,CASA DE BOMBAS,ATENDIDO E FINALIZADO,NENHUM,BRUNO
17,1008,30/08/2026 16:06,THIAGO/IURY,OPERAÇÃO,BAIXA,2026-09-29,Finalizada 🔵,Finalizada,SALA DE OPERAÇÃO,PINTURA,NENHUM,THIAGO/IURY
18,1007,28/08/2026 11:50,ALLISON,PORTARIA,BAIXA,2026-09-27,Finalizada 🔵,Finalizada,AR CONDICIONADO,-FEITO LIMPEZA ESTERNA PARA MELHOR CIRCULARIZAÇÃO ,-,MANUTENCAO
19,1006,28/08/2026 11:35,THIAGO SPANEMBERG,ADMINISTRATIVO,BAIXA,2026-09-27,Finalizada 🔵,Finalizada,LABORATÓRIO,PORTA TROCADA DE LUGAR,FECHADURA,THIAGO/IURY
